parameter_name,HDL cholesterol
analysis_id,c1i638or6mm2b9n
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5126855
gene_symbol,Zmynd8
parameter_id,JAX_PLC_002_001
gene_accession_id,MGI:1918025
