parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
gene_symbol,Trpa1
analysis_id,jc1k11g777k7858
mouse_life_stage,Early adult
pvalue,0.356561
gene_accession_id,MGI:3522699
mouse_strain,C57BL
