analysis_id,10rxei02i11o909
gene_symbol,Lamb3
mouse_strain,C57BL
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
parameter_name,CD4+ alpha beta T cell percentage
parameter_id,MGP_PBI_003_001
pvalue,0.0769468
