analysis_id,uboh821im8hg176
mouse_life_stage,Early adult
gene_symbol,Ntmt2
pvalue,0.9900329
parameter_name,Corneal opacity
gene_accession_id,MGI:2685053
mouse_strain,C57BL
parameter_id,IMPC_EYE_008_001
