analysis_id,16c9ol9m62g7fn4
parameter_name,Startle response
mouse_life_stage,Early adult
pvalue,0.4968392
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:1916363
mouse_strain,C57BL
gene_symbol,Alkbh3
