analysis_id,0t04242lzk78gs6
pvalue,0.6251073
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
