gene_symbol,Etfdh
gene_accession_id,MGI:106100
parameter_name,Time mobile light side
mouse_life_stage,Early adult
pvalue,0.8574407
analysis_id,asj78178494gakw
mouse_strain,C57BL
parameter_id,JAX_LDT_003_001
