gene_symbol,AU040320
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,MGP_IMM_004_001
analysis_id,60xh294m275s742
gene_accession_id,MGI:2140475
pvalue,0.1493387
