analysis_id,s68aii3r747vcj7
gene_accession_id,MGI:95835
pvalue,0.4961574
parameter_id,JAXLA_HBD_001_001
gene_symbol,Hspa5
mouse_strain,C57BL
parameter_name,Total holepokes
mouse_life_stage,E12.5
