parameter_name,BMC/Body weight
mouse_strain,C57BL
pvalue,0.631121
analysis_id,49vc6h6m2q8z54r
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
parameter_id,IMPC_DXA_007_001
gene_symbol,Rab3gap2
