analysis_id,v56y5hm88nx304u
gene_accession_id,MGI:1888742
parameter_id,ICS_FEA_019_001
pvalue,0.292985
gene_symbol,Extl1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
