analysis_id,q538hkyd580k1f3
pvalue,0.2404975
parameter_id,JAXLA_CSD_041_002
gene_symbol,Ola1
parameter_name,Hindpaw - size
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
mouse_strain,C57BL
