analysis_id,rgbh6i69jxv57k1
parameter_id,IMPC_XRY_023_001
pvalue,0.9059359
gene_symbol,Slc45a3
mouse_life_stage,Early adult
gene_accession_id,MGI:1922082
parameter_name,Ulna
mouse_strain,C57BL
