gene_symbol,Kif24
gene_accession_id,MGI:1918345
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
pvalue,0.549098
analysis_id,x47s326k8962ik3
parameter_id,MGP_IMM_131_001
mouse_life_stage,Early adult
