gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_id,IMPC_CBC_011_001
mouse_life_stage,E12.5
analysis_id,c3vnee86591h93s
pvalue,0.4237229
parameter_name,Iron
mouse_strain,C57BL
