analysis_id,hs77kvro72suts8
gene_symbol,Bmp7
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
gene_accession_id,MGI:103302
pvalue,0.5197348
mouse_life_stage,Early adult
parameter_name,CD8+ KLRG1+ alpha beta T cell number
