analysis_id,p4hk3nm05a4p0m5
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
parameter_name,Glucose
gene_accession_id,MGI:1914556
pvalue,0.1026559
