analysis_id,45s0i400cz7b8ne
gene_symbol,Casq1
pvalue,0.8790001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:1309468
parameter_name,Dark side time spent
