parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
analysis_id,dch1h76l49s1t5h
mouse_strain,C57BL
gene_symbol,Sla2
parameter_id,M-G-P_006_001_026
pvalue,0.9153943
