mouse_strain,129SV
analysis_id,qx34o5jn97su58b
gene_accession_id,MGI:1920638
parameter_id,IMPC_ABR_012_001
gene_symbol,Bpifa3
mouse_life_stage,Early adult
pvalue,0.8623614
parameter_name,30kHz-evoked ABR Threshold
