analysis_id,677213411008625
pvalue,0.08425058
parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:95835
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hspa5
