analysis_id,vb1ox3t303546y2
parameter_id,MGP_PBI_002_001
pvalue,0.9409958
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
