parameter_name,Monocyte percentage
analysis_id,38o8228gs784fwc
gene_symbol,Ap5s1
pvalue,0.7481503
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
