gene_symbol,Rnf114
analysis_id,kinc9015xufd0gy
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Potassium
parameter_id,GMC_906_001_005
gene_accession_id,MGI:1933159
pvalue,0.3313202
