parameter_name,Red blood cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8654698
analysis_id,egr9ld40526bn57
gene_accession_id,MGI:1931749
gene_symbol,Pum1
parameter_id,IMPC_HEM_002_001
