parameter_name,End-Systolic Diameter
mouse_strain,C57BL
gene_accession_id,MGI:1914061
analysis_id,4d17012enqj324a
mouse_life_stage,Early adult
gene_symbol,Duoxa2
parameter_id,IMPC_ECH_001_001
pvalue,0.2471002
