parameter_name,lens opacity
analysis_id,9ee10613gg45vpl
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1931322
gene_symbol,Car13
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6720102
