analysis_id,44uuv46t202lj6o
pvalue,0.8626984
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_001_001
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
mouse_strain,C57BL
