analysis_id,92691k43208w2t8
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - back
pvalue,0.3464983
gene_accession_id,MGI:2685266
parameter_id,IMPC_CSD_011_001
gene_symbol,Pglyrp3
