gene_symbol,Cisd2
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1914256
analysis_id,59e1mf2bo1g686n
pvalue,0.4036576
