pvalue,9.196903e-05
gene_accession_id,MGI:1914061
mouse_strain,C57BL
analysis_id,72te515t7677651
parameter_name,Head coat/hair presence
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
gene_symbol,Duoxa2
