gene_symbol,Rgs20
mouse_life_stage,Early adult
analysis_id,8b21l5v6at11642
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:1929866
pvalue,0.7253912
