pvalue,0.7390175
parameter_name,Basophil differential count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
gene_symbol,Hspa5
analysis_id,bpf4jne29mto1rb
gene_accession_id,MGI:95835
mouse_strain,C57BL
