gene_symbol,Rab3gap2
analysis_id,v90p56p1b0942pj
pvalue,0.2581782
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:1916043
parameter_name,Tremor
