parameter_name,Corneal vascularization
pvalue,0.2388926
gene_symbol,Psmd14
mouse_strain,C57BL
analysis_id,9q66txr13f744zz
mouse_life_stage,Early adult
gene_accession_id,MGI:1913284
parameter_id,IMPC_EYE_009_001
