Parameter_name,Periphery average speed
analysis_id,746o3741qirimm0
pvalue,0.7916539
Gene_accession_id,MGI:2385156
Mouse_life_stage,Early adult
Parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
Gene_symbol,Sdcbp2
