gene_symbol,Clvs1
mouse_strain,C56BL
parameter_name,Resting NK cells - % of NK cells
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:1921688
pvalue,0.9431114
mouse_life_stage,Early adult
analysis_id,j22p2577i3478h6
