parameter_id,MGP_MLN_001_001
mouse_life_stage,Late adult
pvalue,0.2576881
gene_accession_id,MGI:109128
mouse_strain,C57BL
analysis_id,n07i3wvg2qa6439
gene_symbol,Hnf4a
parameter_name,Total T cells - % of CD45+
