gene_symbol,Hnf4a
mouse_strain,C57BL
parameter_id,M-G-P_009_001_003
gene_accession_id,MGI:109128
parameter_name,Body weight
pvalue,0.913125
analysis_id,4b0e31c6qxvt590
mouse_life_stage,Late adult
