parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
pvalue,0.2104716
analysis_id,42841a589lgzib1
gene_symbol,F2
mouse_strain,C57BL
