analysis_id,569p78kp9760u50
gene_accession_id,MGI:1919949
gene_symbol,Lime1
pvalue,0.4659527
parameter_id,IMPC_IMM_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Follicular B Cells (CD21/35+)
