analysis_id,18bt3uy8yx04616
mouse_strain,C57BL
parameter_name,Sacral processes
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:1914437
pvalue,0.4743637
