analysis_id,mo9025r51pv82iy
pvalue,0.9887971
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
