analysis_id,69v0xs7a2353gg7
gene_accession_id,MGI:1914556
parameter_name,Right kidney weight
gene_symbol,Zc2hc1a
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
pvalue,0.3057509
mouse_strain,C57BL
