analysis_id,y3456b9b3v3r008
pvalue,0.2569797
parameter_name,Snout morphology
mouse_life_stage,Middle aged adult
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
