gene_symbol,Tbl1xr1
pvalue,1.463805
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
analysis_id,u592t1373bk455f
parameter_name,Monocyte percentage
mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
