parameter_name,Tremor
pvalue,0.9697525
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
analysis_id,69502h27t38ib2k
gene_symbol,Etfdh
