analysis_id,pm3d378r2ab8j0i
gene_accession_id,MGI:2444554
mouse_strain,C57BL
pvalue,0.5540775
parameter_name,Potassium
gene_symbol,Mapkap1
mouse_life_stage,E12.5
parameter_id,GMC_906_001_005
