analysis_id,963najut2hxw534
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_id,MGP_IMM_100_001
gene_accession_id,MGI:1914437
parameter_name,Resting NK cells - % of CD45+
pvalue,0.09495056
mouse_strain,C57BL
