gene_symbol,Kif24
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1918345
mouse_strain,C57BL
pvalue,0.7600991
parameter_name,Eye
mouse_life_stage,Early adult
analysis_id,v38ieb140cqio54
