analysis_id,csa4iz43875636k
parameter_name,Glucose
pvalue,0.210509
gene_symbol,AU040320
gene_accession_id,MGI:2140475
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Late adult
mouse_strain,C57BL
