parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
pvalue,0.5973884
analysis_id,o40370ht4kcj6yy
parameter_id,IMPC_CBC_025_001
