parameter_name,Retinal Blood Vessels
parameter_id,IMPC_EYE_024_001
analysis_id,f0se1hacb94jdt6
pvalue,0.927464
gene_accession_id,MGI:109384
mouse_strain,C57BL
gene_symbol,Atf3
mouse_life_stage,Early adult
