parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919137
pvalue,0.3782441
analysis_id,juf521bq7alx5s5
gene_symbol,Ppm1j
parameter_name,Spleen weight
