analysis_id,w8761ldid062z80
gene_symbol,Lpgat1
parameter_id,IMPC_GEL_060_001
gene_accession_id,MGI:2446186
pvalue,0.9425544
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Neural tube morphology
