parameter_name,MZB (CD21/35 high)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
pvalue,0.6449508
gene_accession_id,MGI:1931322
gene_symbol,Car13
analysis_id,75w78884jqih96g
