mouse_life_stage,E9.5
pvalue,0.4573268
analysis_id,g3e8bj16r43i008
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI1
gene_symbol,Eprs1
