parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:88328
mouse_strain,C57BL
analysis_id,811aq5xj4dj6wh9
gene_symbol,Tnfsf8
parameter_name,B2B Cells
pvalue,0.5796932
mouse_life_stage,Early adult
