gene_symbol,Fam163a
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
mouse_life_stage,Early adult
analysis_id,y90j60c396n304q
pvalue,0.7382586
gene_accession_id,MGI:3618859
