gene_symbol,Lamb3
mouse_strain,C57BL
gene_accession_id,MGI:99915
pvalue,0.9033815
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
parameter_name,Corneal opacity
analysis_id,129ue5vhygwz44s
