analysis_id,m8r9nt4h9uw7v64
parameter_id,MGP_MLN_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_name,Resting NK cells - % of NK cells
pvalue,0.7591885
gene_symbol,Eprs1
