parameter_name,Lower teeth appearance
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
analysis_id,bl69740q6l7xk6h
gene_symbol,Mapkap1
pvalue,0.6144738
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
