gene_symbol,Rab22a
analysis_id,00n48cy3e75le72
parameter_name,center - resting time
pvalue,0.4764694
gene_accession_id,MGI:105072
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
mouse_strain,C57BL
