parameter_name,Tail bud morphology
parameter_id,IMPC_GEL_033_001
gene_accession_id,MGI:1919107
mouse_strain,C57BL
pvalue,0.7375878
gene_symbol,Slc17a9
mouse_life_stage,Early adult
analysis_id,6tyaqbg5a3n7au2
